"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","25","1","2","1.1","0.2","0"
"2",1,"Justin Jefferson",MIN,"WR2","26","1","3","2.0","0.3","0"
"3",1,"Malik Nabers",NYG,"WR3","22","3","10","4.6","1.8","+2"
"4",1,"Bijan Robinson",ATL,"RB1","23","3","7","4.7","1.3","0"
"5",1,"CeeDee Lamb",DAL,"WR4","26","3","11","5.0","2.2","-2"
"6",2,"Jahmyr Gibbs",DET,"RB2","23","4","9","6.0","1.2","0"
"7",2,"Brian Thomas Jr.",JAC,"WR5","22","4","11","8.4","1.9","+4"
"8",2,"Amon-Ra St. Brown",DET,"WR6","25","4","13","8.4","2.4","+2"
"9",2,"Ashton Jeanty",LV,"RB3","21","6","12","8.5","1.5","-2"
"10",2,"Puka Nacua",LAR,"WR7","24","6","16","8.9","2.4","-2"
"11",3,"Nico Collins",HOU,"WR8","26","8","18","12.7","2.1","+2"
"12",3,"Drake London",ATL,"WR9","24","10","21","14.6","2.9","+2"
"13",3,"Saquon Barkley",PHI,"RB4","28","11","28","16.1","5.8","-1"
"14",3,"Brock Bowers",LV,"TE1","22","8","29","16.9","5.8","-5"
"15",3,"De'Von Achane",MIA,"RB5","23","11","33","17.1","5.7","+1"
"16",3,"Ladd McConkey",LAC,"WR10","23","14","27","18.2","3.6","-1"
"17",3,"Jaxon Smith-Njigba",SEA,"WR11","23","15","31","20.1","4.5","+2"
"18",3,"Garrett Wilson",NYJ,"WR12","25","13","26","20.7","3.3","+8"
"19",3,"A.J. Brown",PHI,"WR13","28","13","33","21.3","5.1","+1"
"20",4,"Marvin Harrison Jr.",ARI,"WR14","23","10","32","22.6","4.8","-2"
"21",4,"Josh Allen",BUF,"QB1","29","14","36","23.0","5.3","0"
"22",4,"Omarion Hampton",LAC,"RB6","22","12","41","23.3","6.8","+2"
"23",4,"Breece Hall",NYJ,"RB7","24","12","41","23.8","7.9","+4"
"24",4,"Lamar Jackson",BAL,"QB2","28","12","48","24.9","7.6","+1"
"25",4,"Bucky Irving",TB,"RB8","22","15","40","25.2","7.6","-3"
"26",4,"Trey McBride",ARI,"TE2","25","13","37","26.1","6.0","-9"
"27",4,"Jonathan Taylor",IND,"RB9","26","15","50","27.4","10.1","+1"
"28",4,"Jayden Daniels",WAS,"QB3","24","10","42","27.6","8.1","-5"
"29",4,"Tetairoa McMillan",CAR,"WR15","22","15","46","27.9","7.6","+3"
"30",4,"Travis Hunter",JAC,"WR16","22","22","35","28.8","4.0","0"
"31",4,"Tee Higgins",CIN,"WR17","26","25","39","29.9","3.9","-2"
"32",5,"Rashee Rice",KC,"WR18","25","23","49","34.0","6.7","-1"
"33",5,"Joe Burrow",CIN,"QB4","28","15","53","34.1","8.7","+5"
"34",5,"DeVonta Smith",PHI,"WR19","26","28","46","36.7","5.3","+2"
"35",5,"Jalen Hurts",PHI,"QB5","27","27","51","37.9","7.4","+4"
"36",5,"Zay Flowers",BAL,"WR20","24","32","61","40.0","7.5","+12"
"37",5,"Sam LaPorta",DET,"TE3","24","31","45","40.4","4.3","+6"
"38",5,"Kyren Williams",LAR,"RB10","24","23","77","40.5","11.9","-5"
"39",5,"Rome Odunze",CHI,"WR21","23","33","79","42.7","12.0","+5"
"40",5,"James Cook",BUF,"RB11","25","22","64","43.0","10.1","+9"
"41",5,"Chase Brown",CIN,"RB12","25","20","65","44.9","10.8","+6"
"42",5,"DK Metcalf",PIT,"WR22","27","36","61","45.2","7.1","+13"
"43",5,"Patrick Mahomes II",KC,"QB6","29","26","63","45.6","9.3","+21"
"44",5,"Jordan Addison",MIN,"WR23","23","29","69","46.8","10.9","+15"
"45",5,"TreVeyon Henderson",NE,"RB13","22","29","64","49.0","10.2","-10"
"46",5,"Jaylen Waddle",MIA,"WR24","26","36","73","49.0","8.3","+15"
"47",5,"Josh Jacobs",GB,"RB14","27","30","65","49.6","11.1","-7"
"48",6,"Xavier Worthy",KC,"WR25","22","30","73","50.0","11.2","-6"
"49",6,"Kenneth Walker III",SEA,"RB15","24","30","81","50.9","12.1","-3"
"50",6,"DJ Moore",CHI,"WR26","28","34","76","51.1","11.9","0"
"51",6,"Terry McLaurin",WAS,"WR27","29","39","70","51.7","10.5","-10"
"52",6,"Chris Olave",NO,"WR28","25","35","75","53.8","12.7","+11"
"53",6,"Justin Herbert",LAC,"QB7","27","42","77","54.7","9.8","+37"
"54",6,"Jameson Williams",DET,"WR29","24","36","77","56.1","11.5","+8"
"55",6,"Emeka Egbuka",TB,"WR30","22","32","73","56.3","12.9","-3"
"56",6,"Christian McCaffrey",SF,"RB16","29","29","75","58.3","10.0","-19"
"57",6,"George Kittle",SF,"TE4","31","43","95","58.9","14.4","-3"
"58",6,"T.J. Hockenson",MIN,"TE5","28","46","96","60.0","14.2","+11"
"59",6,"Tyler Warren",IND,"TE6","23","46","74","61.0","8.5","-3"
"60",6,"Kaleb Johnson",PIT,"RB17","22","42","87","63.0","12.2","-7"
"61",6,"Derrick Henry",BAL,"RB18","31","42","87","63.5","11.1","-27"
"62",6,"Colston Loveland",CHI,"TE7","21","45","86","63.9","9.9","+4"
"63",6,"Bo Nix",DEN,"QB8","25","46","85","64.0","12.4","+9"
"64",6,"Drake Maye",NE,"QB9","22","44","99","64.3","15.4","+19"
"65",6,"George Pickens",DAL,"WR31","24","36","94","65.5","13.0","-5"
"66",6,"RJ Harvey",DEN,"RB19","24","35","97","65.7","14.1","-15"
"67",6,"Caleb Williams",CHI,"QB10","23","54","116","66.2","14.6","+13"
"68",6,"C.J. Stroud",HOU,"QB11","23","46","93","66.5","13.8","+35"
"69",7,"Quinshon Judkins",CLE,"RB20","21","54","91","70.0","9.4","-24"
"70",7,"Jerry Jeudy",CLE,"WR32","26","52","92","70.5","9.6","+4"
"71",7,"Tyreek Hill",MIA,"WR33","31","55","96","73.3","8.2","-14"
"72",7,"Chuba Hubbard",CAR,"RB21","26","51","90","74.7","9.3","-14"
"73",7,"Davante Adams",LAR,"WR34","32","44","101","77.6","13.8","-3"
"74",7,"Matthew Golden",GB,"WR35","22","45","106","78.6","18.1","-3"
"75",7,"Mike Evans",TB,"WR36","31","60","99","78.9","8.7","-8"
"76",7,"Brandon Aiyuk",SF,"WR37","27","61","139","79.5","16.3","0"
"77",7,"Tucker Kraft",GB,"TE8","24","57","133","79.7","18.7","+20"
"78",7,"Jordan Love",GB,"QB12","26","56","110","80.7","15.7","+42"
"79",7,"David Montgomery",DET,"RB22","28","65","102","82.5","11.6","-1"
"80",7,"Luther Burden III",CHI,"WR38","21","61","105","82.7","12.1","-5"
"81",7,"David Njoku",CLE,"TE9","29","62","115","82.7","15.4","+25"
"82",7,"Mark Andrews",BAL,"TE10","29","53","138","85.3","23.8","+9"
"83",7,"Kyler Murray",ARI,"QB13","28","58","137","86.5","22.7","+11"
"84",7,"Dalton Kincaid",BUF,"TE11","25","68","114","87.5","14.0","+11"
"85",7,"Ricky Pearsall",SF,"WR39","24","58","116","87.8","13.4","-1"
"86",7,"Josh Downs",IND,"WR40","24","58","122","88.3","14.0","+3"
"87",7,"Alvin Kamara",NO,"RB23","30","63","117","88.3","11.6","-19"
"88",7,"Joe Mixon",HOU,"RB24","29","67","132","88.5","12.7","-23"
"89",7,"Jayden Higgins",HOU,"WR41","22","60","125","89.9","16.8","-8"
"90",8,"Brock Purdy",SF,"QB14","25","49","128","90.3","18.9","+36"
"91",8,"Khalil Shakir",BUF,"WR42","25","60","117","91.2","14.4","-3"
"92",8,"Chris Godwin",TB,"WR43","29","65","105","91.5","9.6","-6"
"93",8,"Baker Mayfield",TB,"QB15","30","60","132","91.7","17.6","+20"
"94",8,"Courtland Sutton",DEN,"WR44","29","68","111","93.0","11.6","-21"
"95",8,"Tre' Harris",LAC,"WR45","23","67","128","93.8","15.4","+3"
"96",8,"Jayden Reed",GB,"WR46","25","67","144","94.6","18.2","-9"
"97",8,"Tony Pollard",TEN,"RB25","28","73","119","96.7","10.8","+4"
"98",8,"Michael Pittman Jr.",IND,"WR47","27","83","113","97.5","7.7","+6"
"99",8,"Trevor Lawrence",JAC,"QB16","25","60","122","99.2","15.8","+52"
"100",8,"Brian Robinson Jr.",WAS,"RB26","26","86","123","101.8","8.3","-4"
"101",8,"D'Andre Swift",CHI,"RB27","26","83","131","101.8","13.5","-9"
"102",8,"Isiah Pacheco",KC,"RB28","26","80","155","102.5","18.7","-23"
"103",8,"Evan Engram",DEN,"TE12","30","78","143","102.7","18.9","+22"
"104",8,"J.J. McCarthy",MIN,"QB17","22","52","135","103.9","18.4","+23"
"105",8,"Tyrone Tracy Jr.",NYG,"RB29","25","75","138","106.0","18.6","-12"
"106",8,"James Conner",ARI,"RB30","30","80","130","106.0","11.2","-24"
"107",8,"Calvin Ridley",TEN,"WR48","30","99","121","106.4","6.7","-7"
"108",8,"Jakobi Meyers",LV,"WR49","28","100","129","111.7","7.4","-3"
"109",8,"Jauan Jennings",SF,"WR50","28","94","131","112.2","8.2","-7"
"110",8,"Cam Skattebo",NYG,"RB31","23","77","159","112.7","22.9","-33"
"111",8,"Deebo Samuel Sr.",WAS,"WR51","29","91","149","112.7","14.6","-3"
"112",8,"Keon Coleman",BUF,"WR52","22","82","174","115.1","23.6","-2"
"113",8,"Kyle Pitts Sr.",ATL,"TE13","24","78","154","115.5","17.9","-2"
"114",8,"Jared Goff",DET,"QB18","30","89","158","116.5","17.7","+25"
"115",9,"Dak Prescott",DAL,"QB19","32","93","150","117.9","16.0","+31"
"116",9,"Travis Kelce",KC,"TE14","35","89","180","119.5","22.5","-2"
"117",9,"Travis Etienne Jr.",JAC,"RB32","26","92","139","119.7","13.8","-32"
"118",9,"Aaron Jones Sr.",MIN,"RB33","30","85","164","121.3","21.9","-19"
"119",9,"Jack Bech",LV,"WR53","22","103","152","124.2","13.0","+5"
"120",9,"Stefon Diggs",NE,"WR54","31","114","138","124.8","6.1","-1"
"121",9,"Darnell Mooney",ATL,"WR55","27","104","152","124.8","12.2","+11"
"122",9,"Jalen McMillan",TB,"WR56","23","102","146","125.8","12.0","+19"
"123",9,"Michael Penix Jr.",ATL,"QB20","25","91","150","125.8","12.5","+27"
"124",9,"Cameron Ward",TEN,"QB21","23","100","148","126.5","12.9","+7"
"125",9,"Zach Charbonnet",SEA,"RB34","24","98","160","129.8","19.4","-18"
"126",9,"Najee Harris",LAC,"RB35","27","95","162","130.3","18.9","-9"
"127",9,"Isaiah Likely",BAL,"TE15","25","91","183","130.8","24.9","-5"
"128",9,"Rashid Shaheed",NO,"WR57","26","107","158","132.2","13.0","+6"
"129",9,"Kyle Williams",NE,"WR58","22","80","175","132.3","20.3","-11"
"130",9,"Cooper Kupp",SEA,"WR59","32","118","159","134.5","14.4","-14"
"131",9,"Trey Benson",ARI,"RB36","23","91","165","134.7","22.7","-19"
"132",9,"Dallas Goedert",PHI,"TE16","30","81","180","136.0","24.2","+28"
"133",9,"Jake Ferguson",DAL,"TE17","26","112","193","136.6","20.6","+3"
"134",9,"Mason Taylor",NYJ,"TE18","21","112","160","138.0","14.8","-1"
"135",9,"Bhayshul Tuten",JAC,"RB37","23","75","173","125.3","28.9","-26"
"136",9,"Jaylen Warren",PIT,"RB38","26","95","167","139.7","21.6","-15"
"137",9,"Jaylin Noel",HOU,"WR60","22","96","212","140.1","28.8","+5"
"138",9,"Bryce Young",CAR,"QB22","24","123","165","140.8","11.2","+26"
"139",9,"Cedric Tillman",CLE,"WR61","25","113","196","143.6","22.4","+17"
"140",9,"Justin Fields",NYJ,"QB23","26","120","182","144.1","14.8","+13"
"141",9,"Jonnu Smith",PIT,"TE19","29","116","199","144.4","22.4","+4"
"142",9,"Rhamondre Stevenson",NE,"RB39","27","103","199","145.5","25.3","-13"
"143",9,"Christian Kirk",HOU,"WR62","28","126","176","145.7","15.1","+23"
"144",9,"Tyjae Spears",TEN,"RB40","24","94","179","146.8","21.1","-21"
"145",9,"Rashod Bateman",BAL,"WR63","25","129","193","147.7","19.0","-7"
"146",9,"Tua Tagovailoa",MIA,"QB24","27","125","187","147.9","16.0","+55"
"147",9,"Rachaad White",TB,"RB41","26","108","181","151.4","16.6","-12"
"148",9,"Pat Freiermuth",PIT,"TE20","26","89","204","152.1","29.1","+26"
"149",10,"Javonte Williams",DAL,"RB42","25","122","181","154.3","15.8","-19"
"150",10,"Jordan Mason",MIN,"RB43","26","117","211","154.3","22.5","-22"
"151",10,"Romeo Doubs",GB,"WR64","25","131","189","154.4","14.0","+20"
"152",10,"Tank Bigsby",JAC,"RB44","22","108","193","155.9","19.2","-15"
"153",10,"Sam Darnold",SEA,"QB25","28","111","205","157.3","21.7","+83"
"154",10,"Marquise Brown",KC,"WR65","28","134","198","158.3","17.9","+14"
"155",10,"Marvin Mims Jr.",DEN,"WR66","23","123","206","147.3","20.2","-6"
"156",10,"Xavier Legette",CAR,"WR67","24","132","226","161.6","20.4","-8"
"157",10,"Terrance Ferguson",LAR,"TE21","22","111","294","163.6","40.0","-2"
"158",10,"Elijah Arroyo",SEA,"TE22","22","114","264","152.7","33.0","+7"
"159",10,"Braelon Allen",NYJ,"RB45","21","103","225","165.8","30.3","-7"
"160",10,"Jaxson Dart",NYG,"QB26","22","132","235","166.4","23.3","+16"
"161",10,"Isaac Guerendo",SF,"RB46","25","139","190","166.8","16.0","-18"
"162",10,"Anthony Richardson Sr.",IND,"QB27","23","144","228","169.3","23.5","+27"
"163",10,"Cade Otton",TB,"TE23","26","138","208","170.3","21.7","+9"
"164",10,"Ray Davis",BUF,"RB47","25","135","200","171.7","17.2","-20"
"165",10,"Tank Dell",HOU,"WR68","25","150","244","172.3","20.2","+21"
"166",10,"Dylan Sampson",CLE,"RB48","20","118","289","172.8","37.0","-19"
"167",10,"Wan'Dale Robinson",NYG,"WR69","24","123","198","172.8","19.5","-10"
"168",10,"Jaylen Wright",MIA,"RB49","22","140","203","172.9","17.9","-14"
"169",10,"Jaydon Blue",DAL,"RB50","21","120","273","173.4","32.4","-54"
"170",10,"Quentin Johnston",LAC,"WR70","23","142","225","175.2","20.3","-12"
"171",10,"Jalen Royals",KC,"WR71","22","134","251","176.7","30.7","-9"
"172",10,"Harold Fannin Jr.",CLE,"TE24","21","118","271","177.3","36.1","+1"
"173",10,"Hunter Henry",NE,"TE25","30","133","245","177.7","30.0","+24"
"174",10,"Adonai Mitchell",IND,"WR72","22","143","276","179.0","28.2","+14"
"175",10,"Geno Smith",LV,"QB28","34","147","258","179.9","33.9","+83"
"176",10,"J.K. Dobbins",DEN,"RB51","26","124","219","180.3","29.2","-36"
"177",10,"Elic Ayomanor",TEN,"WR73","22","133","357","181.9","55.4","+8"
"178",10,"Matthew Stafford",LAR,"QB29","37","154","237","184.4","21.9","+35"
"179",10,"Jalen Coker",CAR,"WR74","23","164","268","184.7","25.2","0"
"180",10,"Joshua Palmer",BUF,"WR75","25","131","228","173.9","25.3","+14"
"181",10,"Brenton Strange",JAC,"TE26","24","121","247","176.1","27.3","0"
"182",10,"Rico Dowdle",CAR,"RB52","27","149","251","193.9","23.7","-13"
"183",10,"Tyler Allgeier",ATL,"RB53","25","162","279","194.7","27.2","-24"
"184",10,"Blake Corum",LAR,"RB54","24","153","269","195.2","25.2","-17"
"185",10,"Christian Watson",GB,"WR76","26","147","287","195.5","31.3","+29"
"186",10,"DeMario Douglas",NE,"WR77","24","170","271","196.4","28.4","-8"
"187",11,"Ja'Tavion Sanders",CAR,"TE27","22","157","258","197.4","23.1","+21"
"188",11,"MarShawn Lloyd",GB,"RB55","24","119","274","200.6","37.4","-8"
"189",11,"Cole Kmet",CHI,"TE28","26","144","251","200.7","27.6","+30"
"190",11,"Mike Gesicki",CIN,"TE29","29","177","255","202.6","22.1","+27"
"191",11,"Dontayvion Wicks",GB,"WR78","24","174","351","193.6","38.1","+30"
"192",11,"Jarquez Hunter",LAR,"RB56","22","97","280","194.4","45.3","-22"
"193",11,"Theo Johnson",NYG,"TE30","24","187","259","204.8","15.3","+39"
"194",11,"Ben Sinnott",WAS,"TE31","23","175","269","207.8","25.3","+15"
"195",11,"DeAndre Hopkins",BAL,"WR79","33","171","336","209.7","35.6","+28"
"196",11,"Jerome Ford",CLE,"RB57","25","129","300","210.7","43.8","-6"
"197",11,"Chig Okonkwo",TEN,"TE32","25","187","240","204.3","14.0","+5"
"198",11,"Alec Pierce",IND,"WR80","25","183","259","214.8","24.4","-23"
"199",11,"Roschon Johnson",CHI,"RB58","24","182","249","214.9","15.9","-16"
"200",11,"Jonathon Brooks",CAR,"RB59","22","150","353","215.8","49.9","-9"
"201",11,"Zach Ertz",WAS,"TE33","34","133","311","216.1","40.6","-1"
"202",11,"DJ Giddens",IND,"RB60","21","162","321","207.5","34.1","-25"
"203",11,"Tyler Shough",NO,"QB30","25","148","299","217.3","36.2","+71"
"204",11,"Diontae Johnson",CLE,"WR81","29","182","260","211.6","24.7","+65"
"205",11,"Jalen Milroe",SEA,"QB31","22","167","300","213.1","31.4","-7"
"206",11,"Devin Neal",NO,"RB61","22","160","367","213.5","50.5","-45"
"207",11,"Adam Thielen",CAR,"WR82","34","176","382","218.4","46.6","0"
"208",11,"Pat Bryant",DEN,"WR83","22","129","346","208.7","49.9","-45"
"209",11,"Michael Wilson",ARI,"WR84","25","182","253","209.8","20.8","+11"
"210",11,"Roman Wilson",PIT,"WR85","24","189","283","229.7","28.1","-4"
"211",11,"Amari Cooper",FA,"WR86","31","143","341","211.4","44.0","+65"
"212",11,"Dalton Schultz",HOU,"TE34","29","180","304","221.3","32.0","+75"
"213",11,"Keenan Allen",LAC,"WR87","33","171","340","211.8","39.8","+71"
"214",11,"Troy Franklin",DEN,"WR88","22","163","270","216.6","31.4","+1"
"215",11,"Nick Chubb",HOU,"RB62","29","200","291","227.5","23.1","-22"
"216",11,"Andrei Iosivas",CIN,"WR89","25","195","278","227.7","27.9","+17"
"217",11,"Russell Wilson",NYG,"QB32","36","167","303","222.0","37.3","-"
"218",11,"Austin Ekeler",WAS,"RB63","30","157","306","232.8","37.7","-34"
"219",11,"Isaac TeSlaa",DET,"WR90","23","159","366","227.1","55.9","-20"
"220",11,"Juwan Johnson",NO,"TE35","28","199","283","238.1","28.8","+72"
"221",11,"Brashard Smith",KC,"RB64","22","162","363","230.4","48.5","-29"
"222",11,"Savion Williams",GB,"WR91","23","150","362","230.9","55.6","+28"
"223",11,"Tory Horton",SEA,"WR92","22","169","365","233.4","51.7","-12"
"224",11,"Devaughn Vele",DEN,"WR93","27","211","310","243.3","23.8","+15"
"225",12,"Audric Estime",DEN,"RB65","21","195","282","236.9","25.7","+42"
"226",12,"Oronde Gadsden II",LAC,"TE36","22","143","359","228.0","53.1","-10"
"227",12,"Elijah Moore",BUF,"WR94","25","198","285","237.4","23.4","+19"
"228",12,"Jalen Tolbert",DAL,"WR95","26","207","339","239.6","30.7","+68"
"229",12,"Darius Slayton",NYG,"WR96","28","207","292","231.7","20.2","+46"
"230",12,"Tahj Brooks",CIN,"RB66","23","173","305","233.3","34.8","-18"
"231",12,"Malik Washington",MIA,"WR97","24","198","274","233.7","19.9","+35"
"232",12,"Kendre Miller",NO,"RB67","23","177","295","236.7","33.9","-29"
"233",12,"Jordan Whittington",LAR,"WR98","24","201","326","245.6","30.9","+28"
"234",12,"Will Shipley",PHI,"RB68","22","177","349","253.7","46.1","-24"
"235",12,"Kyle Monangai",CHI,"RB69","23","179","367","247.9","43.8","-30"
"236",12,"Tyler Lockett",TEN,"WR99","32","218","293","240.4","18.4","+6"
"237",12,"Noah Fant",CIN,"TE37","27","206","273","231.8","24.3","-"
"238",12,"Daniel Jones",IND,"QB33","28","178","302","232.6","32.7","-"
"239",12,"Woody Marks",HOU,"RB70","24","168","350","242.6","57.1","-43"
"240",12,"Noah Gray",KC,"TE38","26","205","319","245.4","29.3","+22"
